2026-06-07 21:54:35 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:54:35 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=7.00
2026-06-07 21:54:40 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:54:45 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:54:45 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=7.00
2026-06-07 21:54:48 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:54:48 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:54:54 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:54:54 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=7.00
2026-06-07 21:54:54 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=7.00
2026-06-07 21:55:29 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:55:34 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:55:34 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=7.00
2026-06-07 21:55:46 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:55:56 | CP_DISCONNECTED      | ALC2            | Monitor desconectado
2026-06-07 21:58:53 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 22:06:28 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 22:06:35 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 22:06:37 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 22:07:14 | CP_STOP              | central_menu    | cp_id=ALC1
2026-06-07 22:08:45 | CP_RESUME            | central_menu    | cp_id=ALC1
2026-06-07 22:09:22 | CP_STOP              | central_menu    | cp_id=ALC1
2026-06-07 22:09:40 | CP_RESUME            | central_menu    | cp_id=ALC1
2026-06-07 22:10:02 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC2 user=cp_ALC2
2026-06-07 22:10:31 | CP_DISCONNECTED      | ALC2            | Monitor desconectado
2026-06-07 22:10:31 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:27:25 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:27:34 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:27:43 | CP_STOP              | central_menu    | cp_id=ALC1
2026-06-07 23:28:16 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:28:25 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:28:26 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:29:02 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:29:24 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:30:19 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:30:25 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:30:34 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:30:34 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:30:34 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:31:30 | CHARGE_INTERRUPTED   | ALC1            | driver=Driver1 kwh=2.00 cost=1.20
2026-06-07 23:33:01 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:34:15 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:34:25 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:34:30 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:34:30 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:34:50 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:35:02 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:35:09 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:35:12 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:35:12 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:43:09 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:43:24 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:43:24 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:43:27 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-07 23:54:55 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:55:08 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:55:14 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:55:29 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 23:55:40 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 23:55:44 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 23:55:44 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 00:01:52 | WEATHER_ALERT        | EV_W            | cp_id=ALC1 reason=Temperatura bajo 0°C
2026-06-08 00:02:08 | WEATHER_CANCEL       | EV_W            | cp_id=ALC1
2026-06-08 00:02:08 | WEATHER_ALERT        | EV_W            | cp_id=ALC1 reason=Temperatura bajo 0°C
2026-06-08 00:02:09 | WEATHER_CANCEL       | EV_W            | cp_id=ALC1
2026-06-08 00:03:09 | WEATHER_ALERT        | EV_W            | cp_id=ALC1 reason=Temperatura bajo 0°C
2026-06-08 00:05:33 | WEATHER_CANCEL       | EV_W            | cp_id=ALC1
2026-06-08 00:09:34 | WEATHER_ALERT        | EV_W            | cp_id=ALC1 reason=Temperatura bajo 0°C
2026-06-08 00:09:46 | WEATHER_CANCEL       | EV_W            | cp_id=ALC1
2026-06-08 00:09:54 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:10:03 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 00:10:10 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:10:25 | WEATHER_ALERT        | EV_W            | cp_id=ALC1 reason=Temperatura bajo 0°C
2026-06-08 00:10:39 | WEATHER_CANCEL       | EV_W            | cp_id=ALC1
2026-06-08 00:12:08 | WEATHER_ALERT        | EV_W            | cp_id=ALC1 reason=Temperatura bajo 0°C
2026-06-08 00:12:29 | CHARGE_END           | ALC1            | driver=Driver1 kwh=30.00 cost=18.00
2026-06-08 00:12:41 | WEATHER_CANCEL       | EV_W            | cp_id=ALC1
2026-06-08 00:18:21 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 00:20:32 | KEY_REVOKED          | central_menu    | cp_id=ALC1
2026-06-08 00:23:13 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:23:18 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
